Freshman The,0015841,1925,0,0,0
Big Parade The,0015624,1925,2,0,0
Phantom of the Opera The,0016220,1925,2,0,0
Gold Rush The,0015864,1925,0,0,0
Stachka,0015361,1925,0,0,0
Go West,0015863,1925,0,0,0
Seven Chances,0016332,1925,0,0,0
Battleship Potemkin,0015648,1925,0,0,0
Lost World The,0016039,1925,2,1,0
General The,0017925,1926,0,0,0
Temptress The,0017449,1926,1,1,0
Flesh and the Devil,0016884,1926,1,0,0
For Heaven&#39;s Sake,0016895,1926,0,0,0
So&#39;s Your Old Man,0017410,1926,3,0,0
Die Abenteuer des Prinzen Achmed,0015532,1926,1,0,1
Kid Brother The,0018051,1927,0,0,0
Wings,0018578,1927,2,1,0
Downhill [When Boys Leave Home],0017825,1927,1,0,0
Jazz Singer The,0018037,1927,1,0,0
Sunrise: A Song of Two Humans,0018455,1927,2,0,0
Nevada,0018199,1927,0,0,0
My Best Girl,0018183,1927,3,1,0
Abel Gance&#39;s Napoleon,0018192,1927,2,0,0
Metropolis,0017136,1927,1,0,0
Unknown The,0018528,1927,0,0,0
It,0018033,1927,3,1,0
Circus The,0018773,1928,0,0,0
Racket The,0019304,1928,0,0,0
A Girl in Every Port,0018937,1928,0,0,0
Passion of Joan of Arc The,0019254,1928,0,1,0
Docks of New York The,0018839,1928,2,0,0
Speedy,0019412,1928,0,0,0
Steamboat Bill Jr.,0019421,1928,0,0,0
Power of the Press The,0019290,1928,1,0,0
Crowd The,0018806,1928,1,1,0
Cameraman The,0018742,1928,0,0,0
Beggars of Life,0018684,1928,0,0,0
Patsy The,0019258,1928,3,1,0
While the City Sleeps,0019571,1928,2,0,0
Man Who Laughs The,0019130,1928,2,0,0
Un chien andalou,0020530,1929,0,0,0
Man with a Movie Camera,0019760,1929,0,0,0
Blackmail,0019702,1929,2,1,0
Welcome Danger,0020572,1929,0,0,0
Pandora&#39;s Box (Die B&uuml;chse der Pandora),0018737,1929,3,1,0
Juno and the Paycock [The Shame of Mary Boyle],0021015,1929,3,0,0
Cocoanuts The,0019777,1929,2,0,0
Throw of the Dice,0020286,1929,0,0,0
Anna Christie,0020641,1930,3,1,0
